curve_group,loan_age_weeks,n_defaults,fraction_defaulted_by_week
overall,1,9024,0.07214095744680851
overall,2,9024,0.18993794326241134
overall,3,9024,0.28911790780141844
overall,4,9024,0.38763297872340424
overall,5,9024,0.48470744680851063
overall,6,9024,0.570811170212766
overall,7,9024,0.651595744680851
overall,8,9024,0.7344858156028369
overall,9,9024,0.7753767730496454
overall,10,9024,0.7753767730496454
overall,11,9024,0.7753767730496454
overall,12,9024,0.7753767730496454
overall,13,9024,1.0
score_low_<0.5,1,2082,0.07588856868395773
score_low_<0.5,2,2082,0.19548511047070125
score_low_<0.5,3,2082,0.30643611911623436
score_low_<0.5,4,2082,0.40778097982708933
score_low_<0.5,5,2082,0.5153698366954851
score_low_<0.5,6,2082,0.6095100864553314
score_low_<0.5,7,2082,0.6906820365033621
score_low_<0.5,8,2082,0.7761767531219981
score_low_<0.5,9,2082,0.8146013448607109
score_low_<0.5,10,2082,0.8146013448607109
score_low_<0.5,11,2082,0.8146013448607109
score_low_<0.5,12,2082,0.8146013448607109
score_low_<0.5,13,2082,1.0
score_mid_0.5_0.85,1,3064,0.08453002610966058
score_mid_0.5_0.85,2,3064,0.21018276762402088
score_mid_0.5_0.85,3,3064,0.31462140992167104
score_mid_0.5_0.85,4,3064,0.4151436031331593
score_mid_0.5_0.85,5,3064,0.5078328981723238
score_mid_0.5_0.85,6,3064,0.5926892950391645
score_mid_0.5_0.85,7,3064,0.6759138381201044
score_mid_0.5_0.85,8,3064,0.7578328981723238
score_mid_0.5_0.85,9,3064,0.8025456919060052
score_mid_0.5_0.85,10,3064,0.8025456919060052
score_mid_0.5_0.85,11,3064,0.8025456919060052
score_mid_0.5_0.85,12,3064,0.8025456919060052
score_mid_0.5_0.85,13,3064,1.0
score_high_>=0.85,1,3878,0.06034038164002063
score_high_>=0.85,2,3878,0.17096441464672513
score_high_>=0.85,3,3878,0.2596699329551315
score_high_>=0.85,4,3878,0.3550799381124291
score_high_>=0.85,5,3878,0.44997421351211964
score_high_>=0.85,6,3878,0.5327488396080454
score_high_>=0.85,7,3878,0.611397627643115
score_high_>=0.85,8,3878,0.6936565239814337
score_high_>=0.85,9,3878,0.7328519855595668
score_high_>=0.85,10,3878,0.7328519855595668
score_high_>=0.85,11,3878,0.7328519855595668
score_high_>=0.85,12,3878,0.7328519855595668
score_high_>=0.85,13,3878,1.0
bank_feed_true,1,5787,0.07188526006566442
bank_feed_true,2,5787,0.18973561430793157
bank_feed_true,3,5787,0.2901330568515639
bank_feed_true,4,5787,0.38811128391221705
bank_feed_true,5,5787,0.4885087264558493
bank_feed_true,6,5787,0.5717988595127009
bank_feed_true,7,5787,0.6514601693450838
bank_feed_true,8,5787,0.7356143079315708
bank_feed_true,9,5787,0.7746673578710904
bank_feed_true,10,5787,0.7746673578710904
bank_feed_true,11,5787,0.7746673578710904
bank_feed_true,12,5787,0.7746673578710904
bank_feed_true,13,5787,1.0
bank_feed_false,1,3237,0.07259808464627741
bank_feed_false,2,3237,0.19029966017917826
bank_feed_false,3,3237,0.2873030583873957
bank_feed_false,4,3237,0.3867778807537844
bank_feed_false,5,3237,0.4779116465863454
bank_feed_false,6,3237,0.5690454124189064
bank_feed_false,7,3237,0.6518381217176398
bank_feed_false,8,3237,0.7324683348779735
bank_feed_false,9,3237,0.7766450417052827
bank_feed_false,10,3237,0.7766450417052827
bank_feed_false,11,3237,0.7766450417052827
bank_feed_false,12,3237,0.7766450417052827
bank_feed_false,13,3237,1.0
